transaction_date,post_date,description,category,amount,month,day_of_month,day_of_week,is_weekend,transaction_month,description_length,has_numbers,word_count
2020-06-15,2020-06-16,LITTLE,CAESARS PEMBINA SOWINNIPEG MB Restaurants,12.31,Jul_2020,15,0,0,6,6,0,1
2020-06-18,2020-06-19,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,40.24,Jul_2020,18,3,0,6,22,0,4
2020-06-20,2020-06-22,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Jul_2020,20,5,1,6,17,1,3
2020-06-22,2020-06-22,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Jul_2020,22,0,0,6,17,1,3
2020-06-23,2020-06-25,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,6.01,Jul_2020,23,1,0,6,20,1,1
2020-06-26,2020-06-29,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Jul_2020,26,4,0,6,17,1,3
2020-06-26,2020-06-29,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,4.25,Jul_2020,26,4,0,6,20,1,1
2020-06-27,2020-06-29,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Jul_2020,27,5,1,6,17,1,3
2020-06-29,2020-06-30,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Jul_2020,29,0,0,6,17,1,3
2020-06-30,2020-07-02,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Jul_2020,30,1,0,6,17,1,3
2020-06-30,2020-07-02,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,42.05,Jul_2020,30,1,0,6,22,0,4
2020-06-30,2020-07-02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,5.59,Jul_2020,30,1,0,6,20,1,1
2020-07-01,2020-07-02,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Jul_2020,1,2,0,7,17,1,3
2020-07-05,2020-07-07,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,4.25,Jul_2020,5,6,1,7,20,1,1
2020-07-08,2020-07-09,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,61.64,Jul_2020,8,2,0,7,22,0,4
2020-07-09,2020-07-13,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,20.14,Jul_2020,9,3,0,7,20,1,1
2020-07-12,2020-07-13,ASOYAMA,SUSHI WINNIPEG MB Restaurants,77.31,Jul_2020,12,6,1,7,7,0,1
2020-06-21,2020-06-23,PAYMENT,Payment,-65.42,Jul_2020,21,6,1,6,7,0,1
2020-06-26,2020-06-29,PAYMENT,Payment,-0.88,Jul_2020,26,4,0,6,7,0,1
2020-07-01,2020-07-03,PAYMENT,Payment,-63.59,Jul_2020,1,2,0,7,7,0,1
2020-07-03,2020-07-06,PAYMENT,Payment,-1.98,Jul_2020,3,4,0,7,7,0,1
2020-07-09,2020-07-10,PAYMENT,Payment,-65.89,Jul_2020,9,3,0,7,7,0,1
2020-07-10,2020-07-13,PAYMENT,Payment,-20.14,Jul_2020,10,4,0,7,7,0,1
2020-08-17,2020-08-18,MY,SPICE HOUSE WINNIPEG MB Retail and Grocery,11.0,Sept_2020,17,0,0,8,2,0,1
2020-08-17,2020-08-18,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,22.37,Sept_2020,17,0,0,8,22,0,4
2020-08-20,2020-08-21,MPI,BISON SERVICE CENTRE WINNIPEG MB Professional and Financial Services,25.0,Sept_2020,20,3,0,8,3,0,1
2020-08-20,2020-08-24,SOBEYS #5037,WINNIPEG MB Retail and Grocery,15.76,Sept_2020,20,3,0,8,12,1,2
2020-08-22,2020-08-24,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Sept_2020,22,5,1,8,17,1,3
2020-08-23,2020-08-24,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.5,Sept_2020,23,6,1,8,17,1,3
2020-08-26,2020-08-27,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,14.68,Sept_2020,26,2,0,8,22,0,4
2020-08-26,2020-08-27,MY,SPICE HOUSE WINNIPEG MB Retail and Grocery,5.5,Sept_2020,26,2,0,8,2,0,1
2020-08-29,2020-08-31,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Sept_2020,29,5,1,8,17,1,3
2020-08-29,2020-08-31,STARBUCKS 04827,WINNIPEG MB Restaurants,5.18,Sept_2020,29,5,1,8,15,1,2
2020-08-30,2020-08-31,TIM HORTONS #2856,WINNIPEG MB Restaurants,1.6,Sept_2020,30,6,1,8,17,1,3
2020-08-30,2020-08-31,TIM HORTONS #2856,WINNIPEG MB Restaurants,1.6,Sept_2020,30,6,1,8,17,1,3
2020-09-03,2020-09-08,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,13.25,Sept_2020,3,3,0,9,20,1,1
2020-09-04,2020-09-08,MPI ST MARY'S,SERVICE CENWINNIPEG MB Professional and Financial Services,20.0,Sept_2020,4,4,0,9,13,0,3
2020-09-05,2020-09-08,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.6,Sept_2020,5,5,1,9,17,1,3
2020-09-06,2020-09-08,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.6,Sept_2020,6,6,1,9,17,1,3
2020-09-07,2020-09-08,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Sept_2020,7,0,0,9,17,1,3
2020-08-25,2020-08-26,PAYMENT,Payment,-79.61,Sept_2020,25,1,0,8,7,0,1
2020-09-02,2020-09-03,PAYMENT,Payment,-30.54,Sept_2020,2,2,0,9,7,0,1
2020-09-04,2020-09-08,PAYMENT,Payment,-33.25,Sept_2020,4,4,0,9,7,0,1
2020-09-05,2020-09-09,PAYMENT,Payment,-1.6,Sept_2020,5,5,1,9,7,0,1
2020-09-09,2020-09-10,PAYMENT,Payment,-5.18,Sept_2020,9,2,0,9,7,0,1
2020-09-13,2020-09-14,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.6,Oct_2020,13,6,1,9,17,1,3
2020-09-13,2020-09-14,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Oct_2020,13,6,1,9,17,1,3
2020-09-13,2020-09-16,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,6.14,Oct_2020,13,6,1,9,20,1,1
2020-09-15,2020-09-16,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,29.52,Oct_2020,15,1,0,9,22,0,4
2020-09-20,2020-09-21,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Oct_2020,20,6,1,9,17,1,3
2020-09-20,2020-09-21,TIM HORTONS #8152,WINNIPEG MB Restaurants,0.65,Oct_2020,20,6,1,9,17,1,3
2020-09-21,2020-09-22,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.5,Oct_2020,21,0,0,9,17,1,3
2020-09-21,2020-09-23,STARBUCKS 04827,WINNIPEG MB Restaurants,2.74,Oct_2020,21,0,0,9,15,1,2
2020-09-23,2020-09-24,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Oct_2020,23,2,0,9,17,1,3
2020-09-24,2020-09-25,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Oct_2020,24,3,0,9,17,1,3
2020-09-25,2020-09-28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Oct_2020,25,4,0,9,17,1,3
2020-09-25,2020-09-28,TIM HORTONS #8152,WINNIPEG MB Restaurants,2.71,Oct_2020,25,4,0,9,17,1,3
2020-09-26,2020-09-28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Oct_2020,26,5,1,9,17,1,3
2020-09-27,2020-09-28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.5,Oct_2020,27,6,1,9,17,1,3
2020-09-27,2020-09-28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Oct_2020,27,6,1,9,17,1,3
2020-09-28,2020-09-29,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87,Oct_2020,28,0,0,9,17,1,3
2020-09-28,2020-09-29,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.5,Oct_2020,28,0,0,9,17,1,3
2020-09-28,2020-09-30,PAYPAL *CA 4029357733,CA Retail and Grocery,6.94,Oct_2020,28,0,0,9,21,1,3
2020-09-29,2020-09-30,TIM HORTONS #8152,WINNIPEG MB Restaurants,9.06,Oct_2020,29,1,0,9,17,1,3
2020-09-29,2020-09-30,BK #11895,WINNIPEG MB Restaurants,12.09,Oct_2020,29,1,0,9,9,1,2
2020-09-30,2020-10-01,MYBACKCHECK.COM,SURREY BC Personal and Household Expenses,30.98,Oct_2020,30,2,0,9,15,0,1
2020-09-30,2020-10-01,TIM HORTONS #8152,WINNIPEG MB Restaurants,6.49,Oct_2020,30,2,0,9,17,1,3
2020-10-01,2020-10-02,BK #11895,WINNIPEG MB Restaurants,12.53,Oct_2020,1,3,0,10,9,1,2
2020-10-02,2020-10-05,BK #11895,WINNIPEG MB Restaurants,12.53,Oct_2020,2,4,0,10,9,1,2
2020-10-03,2020-10-05,TIM HORTONS #8152,WINNIPEG MB Restaurants,8.49,Oct_2020,3,5,1,10,17,1,3
2020-10-03,2020-10-05,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,73.94,Oct_2020,3,5,1,10,22,0,4
2020-10-03,2020-10-05,TIM HORTONS #8152,WINNIPEG MB Restaurants,6.49,Oct_2020,3,5,1,10,17,1,3
2020-10-03,2020-10-05,BK #11895,WINNIPEG MB Restaurants,10.29,Oct_2020,3,5,1,10,9,1,2
2020-10-04,2020-10-05,TIM HORTONS #8152,WINNIPEG MB Restaurants,9.95,Oct_2020,4,6,1,10,17,1,3
2020-10-04,2020-10-06,DIM,SUM KINGDOM WINNIPEG MB Restaurants,15.62,Oct_2020,4,6,1,10,3,0,1
2020-10-05,2020-10-06,TIM HORTONS #8152,WINNIPEG MB Restaurants,9.95,Oct_2020,5,0,0,10,17,1,3
2020-10-06,2020-10-07,Subway 11980,Winnipeg MB Restaurants,9.62,Oct_2020,6,1,0,10,12,1,2
2020-10-06,2020-10-07,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.99,Oct_2020,6,1,0,10,17,1,3
2020-10-07,2020-10-08,TIM HORTONS #8152,WINNIPEG MB Restaurants,6.49,Oct_2020,7,2,0,10,17,1,3
2020-10-07,2020-10-08,TIM HORTONS #8152,WINNIPEG MB Restaurants,6.49,Oct_2020,7,2,0,10,17,1,3
2020-10-07,2020-10-08,BK #11895,WINNIPEG MB Restaurants,6.71,Oct_2020,7,2,0,10,9,1,2
2020-10-08,2020-10-09,TIM HORTONS #8152,WINNIPEG MB Restaurants,2.01,Oct_2020,8,3,0,10,17,1,3
2020-10-08,2020-10-09,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.82,Oct_2020,8,3,0,10,17,1,3
2020-10-08,2020-10-09,DOLLARAMA #1286,WINNIPEG MB Retail and Grocery,3.93,Oct_2020,8,3,0,10,15,1,2
2020-10-08,2020-10-13,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.89,Oct_2020,8,3,0,10,20,1,3
2020-10-08,2020-10-13,DIM,SUM KINGDOM WINNIPEG MB Restaurants,13.38,Oct_2020,8,3,0,10,3,0,1
2020-10-08,2020-10-13,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.35,Oct_2020,8,3,0,10,20,1,1
2020-10-09,2020-10-13,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Oct_2020,9,4,0,10,17,1,3
2020-10-09,2020-10-13,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.33,Oct_2020,9,4,0,10,17,1,3
2020-10-10,2020-10-13,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98,Oct_2020,10,5,1,10,17,1,3
2020-10-10,2020-10-13,DOLLARAMA #1286,WINNIPEG MB Retail and Grocery,2.81,Oct_2020,10,5,1,10,15,1,2
2020-10-10,2020-10-13,BK #11895,WINNIPEG MB Restaurants,12.53,Oct_2020,10,5,1,10,9,1,2
2020-10-10,2020-10-13,CHINA,GARDEN RESTAURANT WINNIPEG MB Restaurants,10.03,Oct_2020,10,5,1,10,5,0,1
2020-10-11,2020-10-13,CHINA,GARDEN RESTAURANT WINNIPEG MB Restaurants,10.03,Oct_2020,11,6,1,10,5,0,1
2020-10-11,2020-10-13,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.89,Oct_2020,11,6,1,10,20,1,3
2020-09-11,2020-09-14,PAYMENT,Payment,-100.0,Oct_2020,11,4,0,9,7,0,1
2020-09-21,2020-09-22,PAYMENT,Payment,-238.27,Oct_2020,21,0,0,9,7,0,1
2020-09-24,2020-09-25,PAYMENT,Payment,-8.22,Oct_2020,24,3,0,9,7,0,1
2020-09-25,2020-09-28,PAYMENT,Payment,-1.98,Oct_2020,25,4,0,9,7,0,1
2020-09-29,2020-09-30,PAYMENT,Payment,-32.13,Oct_2020,29,1,0,9,7,0,1
2020-09-30,2020-10-01,PAYMENT,Payment,-52.13,Oct_2020,30,2,0,9,7,0,1
2020-10-02,2020-10-05,PAYMENT,Payment,-41.04,Oct_2020,2,4,0,10,7,0,1
2020-10-04,2020-10-06,PAYMENT,Payment,-60.0,Oct_2020,4,6,1,10,7,0,1
2020-10-04,2020-10-06,PAYMENT,Payment,-45.34,Oct_2020,4,6,1,10,7,0,1
2020-10-05,2020-10-06,PAYMENT,Payment,-10.0,Oct_2020,5,0,0,10,7,0,1
2020-10-06,2020-10-07,PAYMENT,Payment,-9.9,Oct_2020,6,1,0,10,7,0,1
2020-10-07,2020-10-08,PAYMENT,Payment,-13.84,Oct_2020,7,2,0,10,7,0,1
2020-10-08,2020-10-09,PAYMENT,Payment,-40.09,Oct_2020,8,3,0,10,7,0,1
2020-10-11,2020-10-14,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.26,Nov_2020,11,6,1,10,20,1,1
2020-10-12,2020-10-14,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.89,Nov_2020,12,0,0,10,20,1,3
2020-10-12,2020-10-14,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,5.99,Nov_2020,12,0,0,10,20,1,3
2020-10-13,2020-10-14,DOLLARAMA #1286,WINNIPEG MB Retail and Grocery,3.93,Nov_2020,13,1,0,10,15,1,2
2020-10-13,2020-10-15,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,17.91,Nov_2020,13,1,0,10,17,1,4
2020-10-13,2020-10-15,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,2.23,Nov_2020,13,1,0,10,20,1,3
2020-10-14,2020-10-15,BK #11895,WINNIPEG MB Restaurants,8.95,Nov_2020,14,2,0,10,9,1,2
2020-10-14,2020-10-16,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.89,Nov_2020,14,2,0,10,20,1,3
2020-10-14,2020-10-19,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.26,Nov_2020,14,2,0,10,20,1,1
2020-10-15,2020-10-19,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,2.23,Nov_2020,15,3,0,10,20,1,3
2020-10-16,2020-10-19,MARY BROWNS #8002,WINNIPEG MB Restaurants,11.75,Nov_2020,16,4,0,10,17,1,3
2020-10-16,2020-10-19,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.66,Nov_2020,16,4,0,10,20,1,3
2020-10-16,2020-10-19,DIM,SUM KINGDOM WINNIPEG MB Restaurants,13.38,Nov_2020,16,4,0,10,3,0,1
2020-10-16,2020-10-19,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.26,Nov_2020,16,4,0,10,20,1,1
2020-10-17,2020-10-19,WILD,WINGS PEMBINA HWY WINNIPEG MB Restaurants,20.02,Nov_2020,17,5,1,10,4,0,1
2020-10-17,2020-10-19,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.89,Nov_2020,17,5,1,10,20,1,3
2020-10-17,2020-10-20,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,31.37,Nov_2020,17,5,1,10,20,1,1
2020-10-18,2020-10-19,LITTLE,CAESARS PEMBINA SOWINNIPEG MB Restaurants,12.31,Nov_2020,18,6,1,10,6,0,1
2020-10-18,2020-10-21,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.6,Nov_2020,18,6,1,10,20,1,1
2020-10-19,2020-10-20,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,17.18,Nov_2020,19,0,0,10,9,0,1
2020-10-20,2020-10-21,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,12.01,Nov_2020,20,1,0,10,9,0,1
2020-10-21,2020-10-22,BK #11895,WINNIPEG MB Restaurants,12.31,Nov_2020,21,2,0,10,9,1,2
2020-10-22,2020-10-23,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,30.44,Nov_2020,22,3,0,10,9,0,1
2020-10-22,2020-10-26,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.6,Nov_2020,22,3,0,10,20,1,1
2020-10-23,2020-10-26,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,5.96,Nov_2020,23,4,0,10,22,0,4
2020-10-23,2020-10-26,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,13.96,Nov_2020,23,4,0,10,22,0,4
2020-10-24,2020-10-26,PIZZA HOTLINE #8,WINNIPEG MB Restaurants,11.19,Nov_2020,24,5,1,10,16,1,3
2020-10-25,2020-10-26,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,30.43,Nov_2020,25,6,1,10,9,0,1
2020-10-27,2020-10-28,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,30.44,Nov_2020,27,1,0,10,9,0,1
2020-10-28,2020-10-29,BK #11895,WINNIPEG MB Restaurants,14.55,Nov_2020,28,2,0,10,9,1,2
2020-10-30,2020-11-02,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,38.7,Nov_2020,30,4,0,10,22,0,4
2020-10-30,2020-11-02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,13.25,Nov_2020,30,4,0,10,20,1,1
2020-10-30,2020-11-02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.38,Nov_2020,30,4,0,10,20,1,1
2020-10-31,2020-11-02,DOMINOS PIZZA 10210,WINNIPEG MB Restaurants,14.55,Nov_2020,31,5,1,10,19,1,3
2020-10-31,2020-11-02,FIVE,GUYS BURGERS & FR WINNIPEG MB Restaurants,16.43,Nov_2020,31,5,1,10,4,0,1
2020-11-01,2020-11-02,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,29.21,Nov_2020,1,6,1,11,9,0,1
2020-11-02,2020-11-03,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,26.5,Nov_2020,2,0,0,11,9,0,1
2020-11-02,2020-11-05,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.38,Nov_2020,2,0,0,11,20,1,1
2020-11-04,2020-11-05,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,25.43,Nov_2020,4,2,0,11,9,0,1
2020-11-04,2020-11-06,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,4.54,Nov_2020,4,2,0,11,20,1,3
2020-11-04,2020-11-09,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,12.86,Nov_2020,4,2,0,11,20,1,1
2020-11-05,2020-11-09,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,40.3,Nov_2020,5,3,0,11,17,1,4
2020-11-07,2020-11-09,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,60.36,Nov_2020,7,5,1,11,22,0,4
2020-11-08,2020-11-10,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,21.27,Nov_2020,8,6,1,11,17,1,4
2020-11-09,2020-11-10,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,27.1,Nov_2020,9,0,0,11,9,0,1
2020-11-10,2020-11-12,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,22.39,Nov_2020,10,1,0,11,17,1,4
2020-11-10,2020-11-13,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,4.57,Nov_2020,10,1,0,11,20,1,1
2020-10-13,2020-10-14,PAYMENT,Payment,-62.37,Nov_2020,13,1,0,10,7,0,1
2020-10-14,2020-10-15,PAYMENT,Payment,-24.43,Nov_2020,14,2,0,10,7,0,1
2020-10-19,2020-10-20,PAYMENT,Payment,-50.0,Nov_2020,19,0,0,10,7,0,1
2020-10-25,2020-10-27,PAYMENT,Payment,-100.0,Nov_2020,25,6,1,10,7,0,1
2020-10-30,2020-11-02,PAYMENT,Payment,-50.0,Nov_2020,30,4,0,10,7,0,1
2020-10-31,2020-11-03,PAYMENT,Payment,-161.26,Nov_2020,31,5,1,10,7,0,1
2020-11-03,2020-11-04,PAYMENT,Payment,-20.0,Nov_2020,3,1,0,11,7,0,1
2020-11-04,2020-11-06,PAYMENT,Payment,-100.0,Nov_2020,4,2,0,11,7,0,1
2020-11-06,2020-11-09,PAYMENT,Payment,-40.0,Nov_2020,6,4,0,11,7,0,1
